[01:58:12] - ::1 - 213123 - File: upload_1749175092.png
[02:00:11] - IP: 127.0.0.1 - Hành động: 213123 - File: upload_1749175211.png - Trình duyệt: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[02:01:46] - IP: 127.0.0.1 - Hành động: 213123 - File: upload_1749175306.png - Trình duyệt: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[02:02:10] - IP: 127.0.0.1 - Hành động: 213123 - File: upload_1749175330.png - Trình duyệt: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[02:02:25] - IP: 127.0.0.1 - Hành động: 213123 - File: upload_1749175345.png - Trình duyệt: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[02:03:51] - IP: 127.0.0.1 - Hành động: 213123 - File: upload_1749175431.png - Trình duyệt: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[02:05:48] - IP: 127.0.0.1 - Hành động: 213123 - File: upload_1749175548.png - Trình duyệt: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[02:05:49] - IP: 127.0.0.1 - Hành động: 213123 - File: upload_1749175549.png - Trình duyệt: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03:53:51] - IP: 127.0.0.1 - Hành động: 213123 - File: upload_1749182031.png - Trình duyệt: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03:56:27] - IP: 127.0.0.1 - Hành động: `123123 - Trình duyệt: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03:59:24] - IP: 127.0.0.1 - Hành động: `123123 - Trình duyệt: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[04:00:03] - IP: 127.0.0.1 - Hành động: `123123 - Trình duyệt: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[04:00:18] - IP: 127.0.0.1 - Hành động: luminos - File: upload_1749182418.png - Trình duyệt: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
